Raw_Dist,RX_Power,FP_Power,Quality,True_Distance
0.54,-68.32,-73.26,165.44,0.508
0.51,-68.8,-74.21,148.46,0.508
0.53,-68.63,-73.17,138.73,0.508
0.52,-68.29,-73.26,143.62,0.508
0.51,-68.87,-73.13,156.83,0.508
0.52,-68.84,-73.46,134.37,0.508
0.49,-68.3,-72.71,144.14,0.508
0.5,-68.14,-72.96,129.0,0.508
0.51,-69.04,-73.51,129.77,0.508
0.51,-68.6,-72.84,139.07,0.508
0.5,-68.81,-73.01,131.91,0.508
0.49,-68.65,-73.13,136.57,0.508
0.5,-68.87,-73.36,143.1,0.508
0.51,-69.15,-73.51,127.2,0.508
0.5,-68.49,-72.68,147.85,0.508
0.49,-68.51,-72.94,139.14,0.508
0.52,-68.62,-72.86,136.14,0.508
0.49,-68.84,-73.2,131.27,0.508
0.5,-68.38,-72.63,132.62,0.508
0.51,-69.14,-73.34,130.64,0.508
0.52,-68.42,-72.82,133.83,0.508
0.52,-69.07,-73.04,131.45,0.508
0.52,-68.98,-73.0,134.64,0.508
0.54,-68.83,-72.74,135.52,0.508
0.51,-68.95,-73.29,132.34,0.508
0.53,-68.66,-72.95,138.46,0.508
0.51,-68.67,-73.08,127.47,0.508
0.53,-69.06,-73.42,130.71,0.508
0.52,-68.92,-73.31,125.75,0.508
0.52,-69.03,-73.19,131.52,0.508
0.52,-68.29,-72.62,135.85,0.508
0.52,-68.42,-72.71,132.43,0.508
0.55,-68.5,-72.59,133.22,0.508
0.55,-69.3,-73.6,130.61,0.508
0.53,-68.45,-72.59,139.21,0.508
0.55,-69.7,-74.06,135.92,0.508
0.55,-68.86,-73.14,145.06,0.508
0.54,-68.69,-73.07,147.12,0.508
0.56,-68.55,-72.82,148.52,0.508
0.56,-68.76,-73.17,148.19,0.508
0.53,-68.93,-73.4,145.4,0.508
0.55,-69.79,-74.15,139.17,0.508
0.51,-68.49,-75.42,182.82,0.508
0.52,-68.47,-74.54,150.77,0.508
0.54,-68.49,-74.41,150.85,0.508
0.53,-68.25,-74.71,207.17,0.508
0.53,-68.84,-74.64,159.1,0.508
0.53,-68.86,-73.62,163.37,0.508
0.53,-68.78,-73.9,156.44,0.508
0.52,-68.92,-73.75,141.9,0.508
0.51,-68.99,-73.51,126.23,0.508
0.49,-68.98,-73.3,129.91,0.508
0.51,-69.14,-73.13,141.69,0.508
0.52,-68.57,-72.78,128.42,0.508
0.53,-68.66,-72.59,137.02,0.508
0.51,-69.01,-73.3,134.2,0.508
0.54,-69.34,-73.56,130.25,0.508
0.53,-68.95,-73.17,130.93,0.508
0.54,-68.75,-72.69,136.52,0.508
0.55,-69.21,-73.4,129.75,0.508
0.54,-68.95,-73.34,131.61,0.508
0.54,-69.44,-73.86,140.71,0.508
0.54,-68.35,-75.2,189.27,0.508
0.54,-68.95,-74.89,146.87,0.508
0.53,-68.64,-74.42,149.65,0.508
0.53,-69.38,-74.53,152.02,0.508
0.51,-68.69,-73.8,138.55,0.508
0.51,-69.37,-73.91,140.23,0.508
0.49,-68.62,-72.74,138.2,0.508
0.51,-68.46,-72.53,140.27,0.508
0.51,-68.75,-73.08,128.28,0.508
0.51,-68.34,-72.32,133.97,0.508
0.5,-69.25,-73.5,124.62,0.508
0.49,-68.6,-72.73,137.48,0.508
0.51,-69.08,-73.3,131.11,0.508
0.52,-68.4,-72.83,126.75,0.508
0.53,-68.5,-72.93,131.88,0.508
0.53,-69.67,-73.72,137.63,0.508
0.55,-68.29,-74.52,189.6,0.508
0.52,-68.42,-73.94,145.66,0.508
0.52,-67.98,-73.67,193.7,0.508
0.55,-68.74,-73.7,176.59,0.508
0.53,-68.93,-73.35,158.17,0.508
0.51,-69.12,-73.85,140.23,0.508
0.5,-68.67,-72.84,135.59,0.508
0.5,-68.58,-72.68,130.6,0.508
0.51,-68.79,-72.69,137.07,0.508
0.51,-68.75,-72.86,129.87,0.508
0.52,-68.89,-73.33,125.32,0.508
0.54,-69.2,-73.52,126.53,0.508
0.55,-68.58,-73.02,123.81,0.508
0.53,-69.02,-73.18,138.62,0.508
0.52,-69.51,-75.45,154.19,0.508
0.53,-69.37,-74.84,142.87,0.508
0.53,-69.13,-73.76,145.79,0.508
0.51,-68.52,-72.75,150.37,0.508
0.5,-68.44,-72.36,149.0,0.508
0.51,-68.37,-72.32,139.87,0.508
0.49,-69.34,-73.67,131.43,0.508
0.51,-68.82,-73.11,128.38,0.508
0.52,-69.13,-73.44,125.87,0.508
0.52,-68.49,-72.61,130.9,0.508
0.53,-68.55,-72.72,132.3,0.508
0.53,-68.6,-72.66,129.53,0.508
0.53,-69.85,-75.72,138.37,0.508
0.53,-69.22,-74.9,145.96,0.508
0.51,-69.29,-74.6,144.0,0.508
0.53,-68.6,-72.68,134.3,0.508
0.49,-69.4,-73.51,128.95,0.508
0.47,-68.5,-72.79,125.89,0.508
0.51,-68.73,-72.94,126.1,0.508
0.52,-68.79,-73.02,127.47,0.508
0.53,-68.56,-72.67,127.58,0.508
0.54,-68.44,-72.71,132.25,0.508
0.52,-68.53,-72.79,130.68,0.508
0.53,-68.6,-74.36,150.71,0.508
0.53,-69.15,-74.9,145.38,0.508
0.52,-69.61,-75.23,151.46,0.508
0.53,-68.8,-73.41,177.61,0.508
0.51,-68.95,-73.58,174.18,0.508
0.51,-68.74,-73.37,139.04,0.508
0.49,-68.34,-72.44,140.54,0.508
0.5,-69.27,-73.61,131.29,0.508
0.52,-69.65,-74.18,118.77,0.508
0.55,-68.87,-73.22,131.3,0.508
0.54,-68.78,-72.98,160.21,0.508
0.54,-68.53,-74.69,208.83,0.508
0.55,-68.83,-74.01,175.16,0.508
0.54,-68.9,-73.3,174.91,0.508
0.52,-69.35,-74.2,163.43,0.508
0.52,-68.34,-72.67,151.44,0.508
0.5,-68.93,-73.1,143.38,0.508
0.49,-68.33,-72.64,138.09,0.508
0.51,-68.35,-72.85,128.87,0.508
0.53,-68.52,-73.11,122.34,0.508
0.52,-68.32,-72.96,134.17,0.508
0.55,-69.2,-73.35,140.02,0.508
0.53,-68.35,-74.44,238.47,0.508
0.54,-69.35,-74.63,167.48,0.508
0.51,-68.29,-72.7,170.0,0.508
0.5,-69.32,-73.69,141.88,0.508
0.48,-68.26,-72.4,141.14,0.508
0.47,-69.38,-73.8,130.64,0.508
0.51,-68.99,-73.26,134.09,0.508
0.5,-69.72,-74.13,128.61,0.508
0.51,-68.61,-72.87,129.42,0.508
0.51,-68.82,-72.85,127.65,0.508
0.52,-69.73,-73.92,143.5,0.508
0.51,-68.5,-74.03,166.17,0.508
0.53,-68.87,-73.81,165.96,0.508
0.55,-68.78,-73.12,140.93,0.508
0.51,-68.47,-72.65,139.3,0.508
0.48,-69.05,-73.64,119.17,0.508
0.49,-68.38,-72.7,124.02,0.508
0.51,-68.7,-73.04,125.43,0.508
0.5,-68.47,-72.64,139.98,0.508
0.53,-69.64,-73.95,143.52,0.508
0.51,-68.7,-73.96,146.6,0.508
0.56,-68.65,-73.08,140.29,0.508
0.53,-68.6,-73.0,138.0,0.508
0.51,-68.31,-72.46,131.55,0.508
0.48,-69.36,-73.94,127.62,0.508
0.48,-68.69,-73.01,129.23,0.508
0.49,-69.04,-73.48,125.35,0.508
0.5,-69.23,-74.06,127.13,0.508
0.52,-69.59,-74.05,140.46,0.508
0.51,-69.0,-74.34,163.1,0.508
0.53,-68.56,-73.04,137.07,0.508
0.52,-69.01,-73.25,134.89,0.508
0.5,-68.43,-72.75,129.07,0.508
0.49,-68.37,-72.8,121.67,0.508
0.49,-68.35,-72.69,130.87,0.508
0.53,-68.83,-73.13,125.93,0.508
0.51,-69.48,-73.68,131.37,0.508
0.56,-69.22,-73.95,163.12,0.508
0.56,-68.72,-72.89,150.85,0.508
0.55,-68.96,-73.18,136.86,0.508
0.5,-69.34,-73.72,126.33,0.508
0.49,-68.31,-72.81,130.2,0.508
0.49,-68.48,-73.08,129.48,0.508
0.5,-69.45,-74.26,122.47,0.508
0.53,-69.64,-74.06,138.31,0.508
0.55,-68.93,-73.33,147.08,0.508
0.56,-69.62,-74.42,149.29,0.508
0.53,-68.83,-73.27,144.06,0.508
0.5,-68.46,-73.0,148.63,0.508
0.49,-68.51,-73.15,128.97,0.508
0.5,-68.8,-73.17,136.16,0.508
0.52,-68.54,-72.84,163.29,0.508
0.55,-69.61,-74.02,151.27,0.508
0.55,-69.49,-75.48,150.77,0.508
0.55,-69.07,-74.14,170.5,0.508
0.52,-68.39,-73.09,152.5,0.508
0.51,-68.29,-72.87,150.31,0.508
0.49,-68.31,-72.86,150.0,0.508
0.49,-68.18,-72.95,133.37,0.508
0.53,-68.22,-73.01,135.38,0.508
0.56,-68.92,-73.24,157.33,0.508
0.58,-68.63,-74.63,163.12,0.508
0.55,-69.06,-73.91,169.73,0.508
0.53,-68.6,-73.45,147.6,0.508
0.48,-69.18,-73.93,130.14,0.508
0.49,-68.39,-72.99,126.67,0.508
0.49,-68.43,-72.8,128.3,0.508
0.51,-68.91,-73.34,133.95,0.508
0.52,-69.19,-74.06,141.88,0.508
0.53,-68.6,-74.75,160.19,0.508
0.56,-69.26,-74.26,139.92,0.508
0.53,-68.64,-73.47,138.11,0.508
0.49,-68.57,-73.31,143.54,0.508
0.49,-68.09,-73.01,124.58,0.508
0.52,-68.54,-73.63,146.71,0.508
0.54,-68.28,-73.52,171.41,0.508
0.53,-68.26,-74.75,206.58,0.508
0.56,-68.5,-74.44,161.0,0.508
0.53,-68.18,-73.53,156.23,0.508
0.53,-68.3,-73.45,154.19,0.508
0.52,-68.23,-73.3,165.89,0.508
0.52,-67.87,-72.66,160.96,0.508
0.53,-68.48,-73.58,171.95,0.508
0.56,-68.79,-75.6,166.25,0.508
0.55,-67.88,-74.2,176.91,0.508
0.53,-68.25,-73.93,159.81,0.508
0.5,-68.19,-73.29,152.25,0.508
0.49,-68.6,-72.59,160.29,0.508
0.53,-68.44,-72.74,152.83,0.508
0.53,-68.69,-74.95,151.54,0.508
0.52,-68.96,-74.89,172.0,0.508
0.52,-68.08,-73.1,155.1,0.508
0.51,-69.24,-73.63,134.02,0.508
0.51,-68.72,-72.52,136.52,0.508
0.5,-68.63,-72.47,131.88,0.508
0.51,-69.12,-73.31,133.2,0.508
0.53,-68.77,-72.88,137.16,0.508
0.51,-68.63,-74.4,146.31,0.508
0.53,-68.63,-73.51,163.21,0.508
0.53,-68.5,-72.87,148.65,0.508
0.5,-68.62,-72.79,139.7,0.508
0.49,-68.83,-72.99,130.87,0.508
0.51,-68.69,-72.95,135.45,0.508
0.51,-68.49,-73.06,152.37,0.508
0.54,-69.07,-75.1,167.05,0.508
0.54,-68.82,-73.83,155.96,0.508
0.51,-68.43,-72.55,152.87,0.508
0.49,-68.56,-72.85,135.21,0.508
0.51,-69.07,-73.59,143.96,0.508
0.51,-68.3,-72.75,149.13,0.508
0.53,-68.9,-74.74,160.23,0.508
0.55,-68.63,-74.03,174.7,0.508
0.51,-68.52,-73.45,156.02,0.508
0.52,-68.83,-73.28,144.79,0.508
0.5,-68.62,-72.92,146.75,0.508
0.52,-68.93,-73.42,142.15,0.508
0.51,-68.27,-72.98,143.84,0.508
0.52,-68.49,-73.25,158.15,0.508
0.53,-68.41,-74.28,165.44,0.508
0.55,-68.78,-73.43,171.86,0.508
0.5,-68.55,-73.13,140.98,0.508
0.48,-68.38,-72.68,141.14,0.508
0.52,-68.84,-73.07,146.9,0.508
0.53,-68.85,-73.49,158.75,0.508
0.55,-68.59,-74.33,159.69,0.508
0.54,-68.2,-72.94,163.27,0.508
0.51,-68.77,-73.19,142.29,0.508
0.51,-68.61,-72.76,149.5,0.508
0.51,-69.17,-73.94,138.67,0.508
0.51,-68.54,-72.99,147.94,0.508
0.51,-68.35,-73.03,164.33,0.508
0.54,-68.32,-74.11,162.31,0.508
0.5,-68.57,-73.69,147.08,0.508
0.51,-68.7,-72.99,155.31,0.508
0.5,-68.62,-72.98,138.77,0.508
0.53,-68.94,-73.57,148.98,0.508
0.53,-68.17,-75.13,233.69,0.508
0.54,-68.52,-74.13,170.25,0.508
0.51,-68.49,-72.78,165.08,0.508
0.51,-68.62,-73.19,156.71,0.508
0.5,-69.07,-73.75,150.85,0.508
0.53,-69.26,-73.6,142.48,0.508
0.52,-68.44,-73.08,148.48,0.508
0.53,-68.68,-73.43,154.48,0.508
0.53,-68.33,-73.89,177.09,0.508
0.53,-68.82,-73.52,158.25,0.508
0.5,-68.69,-73.28,157.87,0.508
0.49,-68.38,-72.92,146.84,0.508
0.53,-68.55,-73.19,139.5,0.508
0.53,-69.08,-73.63,154.04,0.508
0.55,-69.21,-74.85,165.2,0.508
0.53,-68.63,-73.49,156.21,0.508
0.47,-68.42,-72.82,145.25,0.508
0.51,-68.61,-73.24,163.65,0.508
0.54,-68.82,-73.21,143.77,0.508
0.53,-68.5,-74.64,175.77,0.508
0.55,-68.52,-74.38,158.52,0.508
0.52,-68.42,-73.28,159.29,0.508
0.51,-68.15,-72.74,150.42,0.508
0.49,-68.67,-72.88,149.31,0.508
0.51,-68.67,-73.43,142.4,0.508
0.54,-68.27,-72.94,165.46,0.508
0.54,-68.55,-74.31,178.18,0.508
0.56,-68.7,-73.78,149.67,0.508
0.51,-68.23,-72.65,150.58,0.508
0.51,-68.68,-73.32,156.29,0.508
0.53,-68.45,-72.98,160.56,0.508
0.52,-69.5,-75.59,173.98,0.508
0.54,-68.3,-73.11,163.56,0.508
0.51,-68.6,-73.05,139.82,0.508
0.49,-68.45,-72.76,150.15,0.508
0.5,-68.52,-73.01,162.79,0.508
0.53,-69.21,-73.73,150.33,0.508
0.53,-68.73,-75.02,172.45,0.508
0.53,-68.66,-73.71,177.82,0.508
0.53,-68.77,-73.28,158.56,0.508
0.5,-68.4,-72.88,139.41,0.508
0.51,-68.2,-72.7,144.52,0.508
0.52,-68.89,-73.28,159.65,0.508
0.55,-68.83,-74.55,171.82,0.508
0.54,-68.91,-73.96,155.98,0.508
0.52,-68.35,-72.82,137.36,0.508
0.5,-69.05,-73.6,131.98,0.508
0.52,-69.08,-73.67,130.86,0.508
0.53,-69.05,-75.25,159.37,0.508
0.53,-68.5,-73.54,163.02,0.508
0.52,-68.62,-73.11,161.35,0.508
0.49,-69.35,-74.01,139.96,0.508
0.49,-69.61,-74.1,137.94,0.508
0.51,-68.69,-72.93,147.83,0.508
0.51,-69.72,-75.22,142.81,0.508
0.53,-68.47,-73.52,150.81,0.508
0.54,-68.78,-72.89,139.09,0.508
0.48,-68.44,-72.66,138.98,0.508
0.51,-68.55,-72.62,138.09,0.508
0.51,-69.53,-74.82,129.48,0.508
0.51,-69.31,-74.51,141.71,0.508
0.51,-69.11,-72.79,135.62,0.508
0.51,-69.55,-73.35,140.98,0.508
0.49,-68.56,-72.46,130.73,0.508
0.5,-69.34,-75.46,133.41,0.508
0.49,-69.59,-74.25,157.85,0.508
0.52,-68.58,-72.9,151.54,0.508
0.52,-68.55,-72.44,148.46,0.508
0.51,-68.57,-72.53,150.58,0.508
0.5,-68.78,-72.77,138.79,0.508
0.53,-69.47,-75.92,138.87,0.508
0.51,-68.76,-74.8,158.96,0.508
0.53,-69.12,-73.74,153.98,0.508
0.5,-68.88,-73.23,153.58,0.508
0.51,-68.86,-73.01,156.08,0.508
0.53,-69.18,-73.42,144.94,0.508
0.55,-68.82,-74.39,167.64,0.508
0.51,-68.72,-73.72,154.77,0.508
0.49,-68.48,-72.85,159.4,0.508
0.51,-68.73,-73.11,145.08,0.508
0.54,-68.88,-73.48,147.35,0.508
0.55,-68.98,-75.23,157.77,0.508
0.54,-69.01,-74.58,169.61,0.508
0.54,-68.96,-73.6,153.02,0.508
0.49,-68.76,-73.4,135.55,0.508
0.51,-68.29,-73.0,143.11,0.508
0.53,-68.44,-73.09,143.54,0.508
0.54,-68.64,-74.44,154.06,0.508
0.53,-69.26,-73.99,140.31,0.508
0.51,-68.91,-73.53,132.27,0.508
0.5,-69.49,-74.1,134.32,0.508
0.53,-68.64,-75.31,185.02,0.508
0.55,-69.01,-73.9,150.33,0.508
0.53,-68.87,-73.07,130.33,0.508
0.49,-68.7,-72.69,129.78,0.508
0.49,-69.18,-73.07,132.82,0.508
0.52,-69.66,-73.96,112.22,0.508
0.5,-69.86,-76.01,111.61,0.508
0.49,-69.59,-74.19,129.55,0.508
0.54,-69.85,-73.63,120.13,0.508
0.51,-69.11,-72.38,131.35,0.508
0.52,-68.88,-72.61,121.95,0.508
0.5,-69.74,-75.61,116.37,0.508
0.49,-69.29,-73.57,128.35,0.508
0.52,-68.85,-72.87,124.12,0.508
0.5,-69.14,-72.6,141.7,0.508
0.51,-69.39,-73.4,128.95,0.508
0.52,-69.05,-75.04,134.37,0.508
0.54,-69.6,-74.86,126.62,0.508
0.53,-68.33,-72.75,141.32,0.508
0.53,-68.74,-72.87,144.98,0.508
0.51,-68.31,-72.73,145.65,0.508
0.51,-68.26,-72.82,148.48,0.508
0.52,-68.67,-73.33,154.56,0.508
0.56,-68.48,-74.38,160.75,0.508
0.54,-68.21,-73.38,140.48,0.508
0.52,-68.09,-72.89,140.87,0.508
0.51,-68.3,-73.1,143.56,0.508
0.53,-68.12,-72.96,161.02,0.508
0.56,-68.92,-74.48,150.83,0.508
0.52,-68.54,-73.29,135.2,0.508
0.51,-68.63,-73.43,139.83,0.508
0.51,-69.16,-74.08,136.06,0.508
0.52,-68.83,-75.6,157.65,0.508
0.56,-68.26,-73.76,173.77,0.508
0.55,-68.51,-73.65,146.9,0.508
0.51,-68.45,-73.2,141.07,0.508
0.51,-68.31,-72.86,141.02,0.508
0.52,-68.74,-73.81,153.23,0.508
0.56,-68.43,-74.58,158.02,0.508
0.52,-68.36,-73.13,134.77,0.508
0.5,-68.35,-72.94,139.57,0.508
0.5,-68.42,-73.35,151.42,0.508
0.54,-68.93,-73.89,168.43,0.508
0.54,-68.71,-73.45,145.12,0.508
0.48,-68.7,-73.1,139.91,0.508
0.51,-68.67,-73.42,145.06,0.508
0.54,-69.12,-73.88,151.87,0.508
0.56,-68.68,-73.59,175.66,0.508
0.53,-68.26,-72.94,138.2,0.508
0.51,-68.5,-72.92,137.14,0.508
0.51,-68.74,-73.04,149.25,0.508
0.53,-68.61,-73.1,148.9,0.508
0.55,-68.95,-74.55,156.42,0.508
0.52,-68.32,-72.97,148.5,0.508
0.49,-68.6,-73.15,147.1,0.508
0.49,-68.8,-73.52,148.88,0.508
0.53,-69.35,-74.04,169.34,0.508
0.55,-68.11,-73.09,156.54,0.508
0.51,-69.01,-73.59,141.63,0.508
0.49,-68.72,-73.45,152.63,0.508
0.53,-69.31,-75.25,173.16,0.508
0.56,-69.05,-74.12,169.36,0.508
0.51,-68.67,-73.35,146.48,0.508
0.5,-69.07,-73.82,130.34,0.508
0.51,-69.2,-73.69,152.25,0.508
0.53,-68.93,-74.81,193.02,0.508
0.55,-68.71,-74.03,172.59,0.508
0.53,-68.9,-73.67,143.21,0.508
0.49,-68.46,-73.36,135.66,0.508
0.51,-68.49,-73.11,160.75,0.508
0.53,-68.55,-73.48,179.0,0.508
0.56,-68.54,-73.58,161.4,0.508
0.52,-69.09,-74.11,133.3,0.508
0.49,-68.51,-73.27,149.0,0.508
0.51,-68.09,-74.65,210.92,0.508
0.56,-68.91,-74.17,147.96,0.508
0.52,-68.54,-73.56,134.5,0.508
0.52,-68.91,-73.6,130.39,0.508
0.49,-68.1,-72.71,141.8,0.508
0.52,-68.17,-75.01,210.61,0.508
0.56,-69.2,-74.72,165.2,0.508
0.55,-68.57,-73.6,147.52,0.508
0.5,-68.17,-73.05,126.34,0.508
0.49,-68.5,-73.07,149.9,0.508
0.53,-68.77,-73.83,162.4,0.508
0.57,-68.63,-73.78,148.48,0.508
0.51,-68.22,-72.97,121.45,0.508
0.48,-68.8,-73.51,133.52,0.508
0.52,-69.22,-75.59,157.69,0.508
0.56,-68.52,-73.05,146.85,0.508
0.51,-68.87,-73.35,128.6,0.508
0.49,-68.16,-72.65,131.37,0.508
0.5,-69.58,-74.09,151.79,0.508
0.52,-68.89,-74.85,155.58,0.508
0.54,-68.46,-72.79,139.7,0.508
0.51,-68.43,-72.58,139.89,0.508
0.48,-69.37,-74.05,122.4,0.508
0.49,-68.62,-72.65,148.81,0.508
0.54,-68.96,-74.48,146.06,0.508
0.53,-68.83,-73.19,131.57,0.508
0.51,-68.67,-72.99,130.83,0.508
0.47,-68.89,-73.2,135.7,0.508
0.49,-68.93,-74.61,150.46,0.508
0.53,-68.58,-72.57,122.94,0.508
0.49,-69.74,-74.08,127.48,0.508
0.48,-68.87,-73.22,143.75,0.508
0.49,-69.23,-75.19,153.33,0.508
0.53,-68.64,-72.71,137.59,0.508
0.5,-68.9,-72.76,135.43,0.508
0.47,-69.0,-73.01,136.62,0.508
0.49,-69.18,-73.34,169.3,0.508
0.49,-68.8,-74.74,160.42,0.508
